cluster_id,size,date_range,avg_word_count,keywords,top_authors
0,10,2011-10-06 to 2013-07-19,1119.2,"Steve Jobs, Intellectual Property, Death Struck Like John Lennon, Getting Shot, Wozniak Says Apple General Counsel Sewell Becomes Protector","Victoria Slind-Flor, Susan Decker, AnKrishnamoorthySusan Li, Bloomberg News, Mark Lee"
1,10,2011-10-06 to 2013-07-26,1406.8,"Hong Kong Short Selling Turnover Recorded, china, int, int l, short sell turnover gem",
2,9,2011-10-06 to 2013-07-27,759.6666666666666,"Egypt, Libyan Arms Smuggled Into Sudan Threaten Renewed Violence, Darfur Region, Military Intelligence Warned No Quick Fall, Assad World Leaders Gather","Terry Atlas, Bill Varner, Flavia Krause-Jackson, Peter S.GreenSalma El Wardany, Margaret TalevDavid Lerman"
3,8,2012-09-21 to 2013-07-21,761.75,"Netanyahu Says Talks Meant, Preserve Israel, Jewish Identity Netanyahu, Meet Party Leaders, Effort","Calev Ben-David, Flavia Krause-Jackson, Nicole GaouetteCalev Ben-David, Margaret Talev"
4,7,2012-09-19 to 2013-07-27,1176.2857142857142,"Bird, Tries Last Ditch Move, Put, Cohen Out, Work","Bob Van Voris, Greg FarrellPatricia Hurtado, Saijel Kishan, Patricia Hurtado, Elizabeth Amon"
5,10,2012-09-19 to 2012-11-15,1069.3,"Fiscal Cliff Showdown Turns Into Early Blame Game Romney Says His Stumbles Don, Mean Campaign Needs, Turnaround Romney Paid, Tax Rate, Million","Heidi PrzybylaMargaret Talev, Julianna GoldmanLisa Lerer, Richard Rubin, Julianna GoldmanKate Andersen Brower, Lisa LererJulie Hirschfeld Davis"
6,8,2011-10-06 to 2013-07-19,493.75,"Kharisma Sells, Tons, Indonesia Stock Movers, Astra International, Energi Mega","Berni Moestafa, Leon LazaroffKsenia Galouchko, Halia Pavliva, Fitri Wulari, Eko Listiyorini"
7,29,2011-10-01 to 2013-07-22,1063.7931034482758,"Stocks Fall, Day, Stocks, Euro Advance, Treasuries Drop Treasuries Decline","Susanne Walker, Susanne WalkerCordell Eddings, Cordell EddingsSusanne Walker, Michael P.ReganRita Nazareth, Rita Nazareth"
8,16,2011-10-06 to 2013-07-26,702.4375,"Weekly Petroleum Status Report, Text, Sept, Natural Gas Fund Discount, Oct","Stephen Rose, Naureen S.Malik, Daniel Petrie, Evan Soltas, Alexer Kwiatkowski"
