cluster_id,size,date_range,avg_word_count,keywords,top_authors
32,56,2011-10-06 to 2013-07-26,719.625,"wti, york, new york, million, week","Mark Shenk, Grant Smith, Moming Zhou, Christian Schmollinger, Barbara Powell"
33,21,2011-10-06 to 2013-07-26,623.4761904761905,"banks, percent, schaeuble, merkel, bank","James G.Neuger, Gabi ThesingJeff Black, Natalie WeeksChristos Ziotis, James HertlingTony Czuczka, Jeff BlackJana Row"
34,10,2011-10-06 to 2013-07-26,830.9,"percent, euros, spain, basis, million","Namitha Jagadeesh, Peter Rawlings, Michael P.ReganRita Nazareth, Pierre Paulden, Jonathan Morgan"
35,8,2011-10-06 to 2013-07-26,1131.75,"corp, shares, rose, dropped, today","Inyoung Hwang, Rita Nazareth, Sarah Pringle, Lu Wang, Lindsey RuppNikolaj Gammeltoft"
36,5,2012-09-21 to 2012-12-04,586.8,"eu, new, barnier, finance, german","Stefan Riecher, Jim BrunsdenBrian ParkinPatrick Donahue, Jim BrunsdenRebecca Christie, Jim Brunsden, Rebecca ChristieJim Brunsden"
37,5,2011-10-07 to 2013-07-19,868.4,"year, bank, commodities, prices, growth","Nicholas LarkinAgnieszka Troszkiewicz, Maria Kolesnikova, Jae Hur, Nicholas Larkin, Agnieszka Troszkiewicz"
38,5,2011-10-06 to 2012-09-21,271.2,"copper, week, central bank, central, currency",John Quigley
39,6,2011-10-06 to 2012-11-15,347.8333333333333,"mexico, rate, bank, bonds, year","Sebastian Boyd, Ben Bain"
40,12,2011-10-01 to 2013-07-19,938.0,"sept, march, today, 30, forecast","Susanne Walker, Susanne WalkerCordell Eddings, Cordell EddingsSusanne Walker, Cordell EddingsDaniel Kruger, Anchalee WorrachateWes Goodman"
41,18,2011-10-01 to 2013-07-26,513.6111111111111,"week, economy, rose, billion, march","Lucy Meakin, Anchalee Worrachate, Garth TheunissenLucy Meakin, Paul Dobson, David Goodman"
42,22,2011-10-01 to 2013-07-26,431.40909090909093,"year, ecb, 10, said, trichet","Daniel Tilles, Paul Dobson, David Goodman, Gabi Thesing, Emma CharltonPaul Dobson"
